"id";"account";"password";"day";"result"
1;"iak47273@cdfaq.com";"test412345";"2022-12-13 17:55:10";0
2;"ededed";"ded";"2022-12-13 17:57:32";-1
3;"iak47273@cdfaq.com";"test412345";"2022-12-19 13:10:42";0
4;"hwc81195@xcoxc.com";"test123456";"2022-12-19 14:31:00";-1
5;"hwc81195@xcoxc.com";"test123456";"2022-12-19 14:31:21";-1
6;"iak47273@cdfaq.com";"test412345";"2022-12-19 14:33:18";0
7;"test";"test";"2022-12-19 22:05:52";-1
8;"iak47273";"test412345";"2022-12-19 22:07:57";-1
9;"iak47273@cdfaq.com";"test412345";"2022-12-19 22:08:29";0
10;"iak47273@cdfaq.com";"test412345";"2022-12-20 13:13:29";0
11;"iak47273@cdfaq.com";"test412345";"2022-12-20 20:18:25";0
12;"LewisQQ";"LewisQQ";"2022-12-20 20:22:24";-1
13;"Lewis";"Lewis";"2022-12-20 20:22:36";-1
14;"iak47273@cdfaq.com";"test12345";"2022-12-20 20:23:31";-1
15;"iak47273@cdfaq.com";"test412345";"2022-12-20 20:23:53";0
16;"LewisQQ";"LewisQQ";"2022-12-20 20:29:52";-1
17;"iak47273@cdfaq.com";"test412345";"2022-12-20 20:30:20";0
18;"Guest1";"";"2022-12-20 20:32:20";-1
19;"Guest.1";"";"2022-12-20 20:32:32";-1
20;"iak47273@cdfaq.com";"test412345";"2022-12-20 20:32:56";0
21;"LewisQQ";"LewisQQ123";"2022-12-20 20:44:47";-1
22;"LewisQQ";"lewisQQ123";"2022-12-20 20:44:56";-1
23;"LewisQQ";"lewisqq123";"2022-12-20 20:45:04";-1
24;"LewisQQ";"lewis123";"2022-12-20 20:45:13";-1
25;"iak47273@cdfaq.com";"test412345";"2022-12-20 21:14:59";0
26;"null";"null";"2022-12-20 21:49:17";-1
27;"null";"null";"2022-12-20 21:49:59";-1
28;"null";"null";"2022-12-20 21:51:06";-1
29;"null";"null";"2022-12-20 21:58:53";-1
30;"null";"null";"2022-12-20 22:00:43";-1
31;"null";"null";"2022-12-20 22:02:36";-1
32;"iak47273@cdfaq.com";"test412345";"2022-12-20 22:02:52";0
33;"iak47273@cdfaq.com";"test412345";"2022-12-20 22:03:25";0
34;"null";"null";"2022-12-20 22:03:43";-1
35;"iak47273@cdfaq.com";"test4123451";"2022-12-20 22:07:31";-1
36;"iak47273@cdfaq.com";"test412345";"2022-12-20 22:07:37";0
37;"null";"null";"2022-12-20 22:08:22";-1
38;"null";"null";"2022-12-20 22:08:50";-1
39;"iak47273@cdfaq.com";"test412345";"2022-12-20 22:09:03";0
40;"null";"null";"2022-12-20 22:23:08";-1
41;"iak47273@cdfaq.com";"test4123451";"2022-12-20 22:44:47";-1
